,RESOURCE_ID,PARENT_ID,RESOURCE_NAME,RESOURCE_URL,ORDER_CODE,CREATED_USER,CREATED_DATE,UPDATE_LAST_USER,UPDATE_LAST_DATE,VALID_FLAG,MAIN_VIEW_FLAG,ICON,RESOURCE_TYPE,METHOD_NAME,METHOD_PATH,REMARK,USE_STATUS
1,1,,"zh_cn=HOME,zh_en=Home",/home,1,,2017/7/1 23:51:49,,2017/7/1 23:51:49,1,0,,,home,home,系统首页，根目录,
2,2,8,"zh_cn=附件管理,zh_en=attachments Manager",attachments/,84,,2017/7/1 23:51:49,0,2017/11/5 13:16:42,1,0,,0,admin,admin,,1
3,3,,,/user,1,,2017/7/1 23:52:36,,2017/7/1 23:52:36,1,0,,,user,user,,
4,4,,hello,/hello,1,,2017/7/1 23:52:36,,2017/7/1 23:52:36,1,0,,,hello,,hello,
5,1001,0,test,/test,,0,2017/10/8 16:29:57,0,2017/10/8 16:29:57,1,0,,,test,/test,junit test,
6,1002,8,"zh_cn=excel管理,zh_en=excel Manager",excel/index.html,37,10001,2017/11/5 13:03:59,0,2017/11/5 13:07:25,1,1,,0,,,,1
7,1003,8,"zh_cn=富文本管理,zh_en=html area Manager",htmlarea/index.html,33,10001,2017/11/5 13:04:16,0,2017/11/5 13:07:38,1,1,,0,,,,1
8,1004,1002,"zh_cn=我的导入,zh_en=excel import",excel/import/index.html,20,10001,2017/11/5 13:09:28,0,2017/11/5 13:09:28,1,1,,0,,,,1
9,1005,1002,"zh_cn=我的导出,zh_en=excel export",excel/export/index.html,82,10001,2017/11/5 13:09:45,0,2017/11/5 13:09:45,1,1,,0,,,,1
10,1006,8,中控台,,78,10001,2017/11/5 13:15:12,0,2017/11/5 13:15:12,1,1,,0,,,,1
11,1007,1006,系统监控,metrics/,30,10001,2017/11/5 13:16:36,0,2017/11/5 13:16:36,1,1,,0,,,,1
12,1008,8,工作流,activiti/,59,10001,2017/11/5 13:18:03,0,2017/11/5 13:18:03,1,1,,0,,,,1
13,1009,1006,session,session/,47,10001,2017/11/5 13:18:51,0,2017/11/5 13:18:51,1,1,,0,,,,1
14,1011,1006,redis,redis/,85,10001,2017/11/5 13:20:02,0,2017/11/5 13:20:02,1,1,,0,,,,1
15,1012,1006,mongodb,mongodb/,80,10001,2017/11/5 13:20:25,0,2017/11/5 13:20:25,1,1,,0,,,,1
16,5,1,SHOP,,3,,2017/9/3 13:48:39,,2017/9/3 13:48:39,1,1,,,,,,1
17,6,1,Product,,2,,2017/9/3 13:48:39,,2017/9/3 13:48:39,1,1,,,,,,1
18,7,1,BLOG,,7,,2017/9/3 13:48:39,,2017/9/3 13:48:39,1,1,,,,,,1
19,8,1,System Manager,,6,,2017/9/3 13:48:39,,2017/9/3 13:48:39,1,1,,,,,,1
20,81,10,"zh_cn=资源管理,zh_en=Resources Manager",security/resources/ResourceTreeGrid.html,1,,2017/9/3 13:59:26,,2017/9/3 13:59:26,1,1,,,,,,1
21,82,10,"zh_cn=用户管理,zh_en=Users Manager",security/user/index.html,1,,2017/9/3 13:59:47,,2017/9/3 13:59:47,1,1,,,,,,1
22,83,10,"zh_cn=角色管理,zh_en=Role Manager",security/role/index.html,1,,2017/9/3 13:59:59,,2017/9/3 13:59:59,1,1,,,,,,1
23,84,8,"zh_cn=Lookup Manager,zh_en=Lookup Manager",lookup/index.html,1,,2017/9/3 14:00:19,,2017/9/3 14:00:19,1,1,,,,,,1
24,10,8,"zh_cn=Security Manager,zh_en=Security Manager",,1,,2017/9/3 14:01:20,,2017/9/3 14:01:20,1,1,,,,,,1
25,9,8,"zh_cn=数据字典,zh_en=Register",register/index.html,1,,2017/9/3 14:01:38,,2017/9/3 14:01:38,1,1,,,,,,1
26,11,1,About Me,,11,,2017/9/3 14:03:25,,2017/9/3 14:03:25,1,1,,,,,,1
27,12,11,Contact,,1,,2017/9/3 14:03:44,,2017/9/3 14:03:44,1,1,,,,,,1
28,13,8,"zh_cn=国际化,zh_en=international",international/index.html,1,,2017/9/3 15:58:43,,2017/9/3 15:58:43,1,1,,,,,,1
29,14,8,"zh_cn=System Menu,zh_en=System Menu",,1,,2017/9/3 15:58:43,0,2017/11/5 13:10:59,1,1,,0,,,"demo页面,可以把地址复制过去查看",0
