"   ","RESOURCE_ID","RESOURCE_NAME","RESOURCE_DESC","RESOURCE_TYPE","RESOURCE_STRING","ICON","PARENT_ID","RES_URL","PRIORITY","ENABLED","ISSYS","MODULE","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","ORDER_CODE","CREATED_USER","CREATED_DATE","UPDATE_LAST_USER","UPDATE_LAST_DATE","VALID_FLAG","USE_STATUS","ROWID"
"1","111","faq ","","0","","","6","faq.html","1","1","0","","","","","","","","","","","","26","10001","2016/10/4 21:04:28","0","2016/10/4 21:04:28","1","1","AAASQKAAEAAAAJTAAA"
"2","1","zh_cn=HOME,zh_en=Home","系统首页，根目录","1","","","","/","1","1","0","","","","","","","","","","","","1","","0016/9/16","","0016/9/16","1","1","AAASQKAAEAAAAJTAAB"
"3","2","Product","","0","","","1","product.html","1","1","0","","","","","","","","","","","","1","0","0016/9/16","0","2016/10/4 21:03:41","1","1","AAASQKAAEAAAAJTAAC"
"4","3","SHOP","","0","","","1","","1","1","0","","","","","","","","","","","","2","0","0016/9/16","0","2016/10/4 20:25:27","1","1","AAASQKAAEAAAAJTAAD"
"5","4","BLOG","","0","","","1","blog.html","1","1","0","","","","","","","","","","","","6","0","0016/9/16","0","2016/10/4 21:04:04","1","0","AAASQKAAEAAAAJTAAE"
"6","5","Import Export","","0","","","1","","1","1","0","","","","","","","","","","","","3","0","0016/9/16","0","2016/10/4 20:30:25","1","1","AAASQKAAEAAAAJTAAF"
"7","6","About","","0","","","1","about-us.html","1","1","0","","","","","","","","","","","","54","0","0016/9/16","0","2016/10/7 4:03:43","1","0","AAASQKAAEAAAAJTAAG"
"8","121","Navation Manager","","0","","","8","NavigationTreeGridManager/NavigationETree.html","1","1","0","","","","","","","","","","","","69","10001","2016/10/8 0:10:58","0","2016/10/8 0:11:14","1","0","AAASQKAAEAAAAJTAAH"
"9","8","System Management","","0","","","1","","1","1","0","","","","","","","","","","","","5","0","0016/9/16","0","2016/10/4 19:10:03","1","1","AAASQKAAEAAAAJTAAI"
"10","10","zh_cn=国际化,zh_en=international","","0","","","8","international/index.html","1","1","0","","","","","","","","","","","","65","0","0016/9/16","0","2016/10/4 21:06:32","1","1","AAASQKAAEAAAAJTAAJ"
"11","9","zh_cn=System Menu,zh_en=System Menu","demo页面,可以把地址复制过去查看","0","","","8","security/resources/ResourceTreeGrid.html","1","1","0","","","","","","","","","","","","26","0","0016/9/16","0","2016/10/8 20:53:49","1","1","AAASQKAAEAAAAJTAAK"
"12","80","zh_cn=Lookup Manager,zh_en=Lookup Manager","","0","","","8","lookup/index.html","1","1","0","","","","","","","","","","","","0","0","0016/9/16","0","2016/10/4 21:05:41","1","1","AAASQKAAEAAAAJTAAL"
"13","83","zh_cn=数据字典,zh_en=Register","","0","","","8","register/index.html","1","1","0","","","","","","","","","","","","54","0","0016/9/16","0","2016/10/4 21:06:18","1","1","AAASQKAAEAAAAJTAAM"
"14","18","zh_cn=Security Manager,zh_en=Security Manager","","0","","","8","","1","1","0","","","","","","","","","","","","36","0","0016/9/16","0","0016/9/16","1","1","AAASQKAAEAAAAJTAAN"
"15","11","zh_cn=用户管理,zh_en=Users Manager","","0","","","18","security/user/index.html","1","1","0","","","","","","","","","","","","1","0","0016/9/16","0","2016/10/4 21:06:57","1","1","AAASQKAAEAAAAJTAAO"
"16","12","zh_cn=角色管理,zh_en=Role Manager","","0","","","18","security/role/index.html","1","1","0","","","","","","","","","","","","2","0","0016/9/16","0","2016/10/4 21:07:01","1","1","AAASQKAAEAAAAJTAAP"
"17","13","zh_cn=资源管理,zh_en=Resources Manager","","0","","","18","security/resources/ResourceTreeGrid.html","1","1","0","","","","","","","","","","","","4","0","0016/9/16","0","2016/10/8 0:11:35","1","0","AAASQKAAEAAAAJTAAQ"
"18","14","zh_cn=权限配置,zh_en=authorities Manager","","0","","","18","security/auth/index.html","1","1","0","","","","","","","","","","","","3","0","0016/9/16","0","2016/10/4 21:07:13","1","1","AAASQKAAEAAAAJTAAR"
"19","101","Contact","","0","","","6","","1","1","0","","","","","","","","","","","","81","10001","2016/10/4 19:15:35","0","2016/10/4 20:33:59","1","1","AAASQKAAEAAAAJTAAS"
"20","122","权限资源配置","","0","","","18","security/auth/resources/AuthResources.html","1","1","0","","","","","","","","","","","","6","10001","2016/10/8 0:13:55","0","2016/10/9 2:20:27","1","1","AAASQKAAEAAAAJTAAT"
